,Years,Topic-1,Topic-2,Topic-3
225,2006,0.7545029566399574,0.08008474192342246,0.9343198882237785
226,2006,0.7545029566399574,0.08008474192342246,0.9343198882237785
227,2006,0.7545029566399574,0.08008474192342246,0.9343198882237785
228,2006,0.7545029566399574,0.08008474192342246,0.9343198882237785
229,2006,0.7545029566399574,0.08008474192342246,0.9343198882237785
230,2006,0.7545029566399574,0.08008474192342246,0.9343198882237785
231,2006,0.7545029566399574,0.08008474192342246,0.9343198882237785
232,2006,0.7545029566399574,0.08008474192342246,0.9343198882237785
233,2006,0.7545029566399574,0.08008474192342246,0.9343198882237785
234,2007,0.7076713333331052,0.10014490733831836,0.9547347891921473
235,2007,0.7076713333331052,0.10014490733831836,0.9547347891921473
236,2007,0.7076713333331052,0.10014490733831836,0.9547347891921473
237,2007,0.7076713333331052,0.10014490733831836,0.9547347891921473
238,2007,0.7076713333331052,0.10014490733831836,0.9547347891921473
239,2007,0.7076713333331052,0.10014490733831836,0.9547347891921473
240,2007,0.7076713333331052,0.10014490733831836,0.9547347891921473
241,2007,0.7076713333331052,0.10014490733831836,0.9547347891921473
242,2007,0.7076713333331052,0.10014490733831836,0.9547347891921473
243,2008,0.6021468369503212,0.04815547862666245,0.9999999999999999
244,2008,0.6021468369503212,0.04815547862666245,0.9999999999999999
245,2008,0.6021468369503212,0.04815547862666245,0.9999999999999999
246,2008,0.6021468369503212,0.04815547862666245,0.9999999999999999
247,2008,0.6021468369503212,0.04815547862666245,0.9999999999999999
248,2008,0.6021468369503212,0.04815547862666245,0.9999999999999999
249,2008,0.6021468369503212,0.04815547862666245,0.9999999999999999
250,2008,0.6021468369503212,0.04815547862666245,0.9999999999999999
251,2008,0.6021468369503212,0.04815547862666245,0.9999999999999999
252,2009,0.9999999999999999,0.015785946699285593,0.7622135538321128
253,2009,0.9999999999999999,0.015785946699285593,0.7622135538321128
254,2009,0.9999999999999999,0.015785946699285593,0.7622135538321128
255,2009,0.9999999999999999,0.015785946699285593,0.7622135538321128
256,2009,0.9999999999999999,0.015785946699285593,0.7622135538321128
257,2009,0.9999999999999999,0.015785946699285593,0.7622135538321128
258,2009,0.9999999999999999,0.015785946699285593,0.7622135538321128
259,2009,0.9999999999999999,0.015785946699285593,0.7622135538321128
260,2009,0.9999999999999999,0.015785946699285593,0.7622135538321128
261,2010,0.6953870378860288,0.04185771284741393,0.9631915182805156
262,2010,0.6953870378860288,0.04185771284741393,0.9631915182805156
263,2010,0.6953870378860288,0.04185771284741393,0.9631915182805156
264,2010,0.6953870378860288,0.04185771284741393,0.9631915182805156
